               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.033854,           0.0069375,          0.00086941,             0.86306,             0.84835,             0.86297,             0.41005,            0.040307,           0.0057306,           0.0029055,           0.0052174,           0.0052174,           0.0052174
                  80,            0.033865,            0.006932,          0.00071394,             0.87543,             0.82867,             0.85971,             0.41465,            0.039706,           0.0057003,           0.0030435,           0.0051234,           0.0051234,           0.0051234
                  81,            0.033317,           0.0070074,          0.00086154,             0.86511,             0.84186,             0.84559,             0.41767,            0.039218,           0.0057964,           0.0029339,           0.0050296,           0.0050296,           0.0050296
                  82,            0.032833,           0.0070691,          0.00084436,             0.85408,             0.83926,             0.85238,             0.41942,            0.040249,           0.0057938,           0.0030723,            0.004936,            0.004936,            0.004936
                  83,            0.032767,           0.0068808,           0.0006417,             0.86278,             0.82736,             0.84911,             0.40399,             0.04019,           0.0057065,           0.0028779,           0.0048426,           0.0048426,           0.0048426
                  84,            0.033405,           0.0066594,          0.00080283,             0.86869,             0.82354,             0.84484,             0.40445,            0.040601,           0.0058295,           0.0029021,           0.0047495,           0.0047495,           0.0047495
                  85,             0.03304,           0.0068761,          0.00072008,             0.89396,             0.81381,             0.85435,             0.41835,            0.040097,           0.0057308,           0.0028311,           0.0046568,           0.0046568,           0.0046568
                  86,            0.032477,           0.0067571,           0.0006706,             0.83007,             0.87365,             0.86989,             0.42547,            0.039255,           0.0056647,           0.0028302,           0.0045644,           0.0045644,           0.0045644
                  87,            0.032123,           0.0072023,          0.00060945,             0.85669,             0.82835,             0.83786,             0.41412,            0.039342,           0.0057712,            0.002852,           0.0044724,           0.0044724,           0.0044724
                  88,            0.032065,           0.0067358,          0.00048231,             0.87703,             0.81081,             0.84056,             0.41022,            0.040081,           0.0060301,           0.0030122,           0.0043809,           0.0043809,           0.0043809
                  89,            0.031938,           0.0066779,          0.00082722,              0.8629,             0.84807,             0.86765,             0.41726,             0.03961,           0.0056761,           0.0028804,           0.0042899,           0.0042899,           0.0042899
                  90,            0.031882,           0.0068146,          0.00060813,             0.87917,             0.83128,             0.86087,             0.42283,            0.039773,            0.005721,           0.0028856,           0.0041994,           0.0041994,           0.0041994
                  91,             0.03191,           0.0067396,          0.00049215,             0.84558,             0.84662,             0.86714,             0.42126,            0.039443,            0.005733,           0.0029402,           0.0041094,           0.0041094,           0.0041094
                  92,            0.031539,           0.0066489,          0.00064618,             0.87158,             0.83974,             0.86518,             0.41705,             0.03989,            0.005815,           0.0029111,           0.0040201,           0.0040201,           0.0040201
                  93,            0.031875,           0.0067311,          0.00049131,              0.8535,             0.83111,             0.84266,             0.40604,             0.04021,           0.0058555,           0.0029175,           0.0039314,           0.0039314,           0.0039314
